Low(£/MWh),High(£/MWh),Last(£/MWh),Weight Avg.(£/MWh)
"63.08","85.96","76.01","79.94"
"72.83","89.81","84.35","81.47"
"-","-","-","-"
"42.49","83.53","61.01","66.72"
"37.32","81.86","57.01","60.63"
"-","-","-","-"
"43.30","91.30","45.00","61.99"
"33.83","75.09","60.00","53.43"
"-","-","-","-"
"21.74","77.94","68.00","52.09"
"24.69","84.00","79.00","46.77"
"-","-","-","-"
"75.48","95.85","94.89","83.49"
"72.01","92.45","92.00","83.05"
"-","-","-","-"
"68.55","93.83","92.00","85.36"
"72.85","94.44","90.99","85.45"
"-","-","-","-"
"74.46","92.00","92.00","82.85"
"64.06","87.95","83.36","77.41"
"-","-","-","-"
"69.30","88.00","82.15","78.12"
"56.74","78.98","72.99","69.75"
"-","-","-","-"
"60.72","77.25","68.65","70.25"
"54.71","74.99","54.71","67.03"
"-","-","-","-"
"50.10","75.68","53.10","66.20"
"47.86","75.32","56.07","64.84"
"-","-","-","-"
"55.00","80.51","74.00","70.93"
"35.58","81.85","45.00","65.86"
"-","-","-","-"
"32.60","75.94","60.00","67.83"
"20.20","91.65","60.00","71.28"
"-","-","-","-"
"47.01","78.86","52.00","65.06"
"56.00","85.22","75.98","77.64"
"-","-","-","-"
"40.70","85.13","63.01","74.54"
"73.42","90.98","80.44","82.52"
"-","-","-","-"
"72.62","87.16","80.00","79.46"
"76.41","89.00","80.00","82.29"
"-","-","-","-"
"74.58","92.50","91.00","82.99"
"53.87","91.67","85.68","82.43"
"-","-","-","-"
"60.25","87.91","76.99","77.23"
"72.00","87.05","85.00","79.66"
"-","-","-","-"
"63.22","87.18","65.01","77.02"
"65.65","91.00","89.98","78.67"
"-","-","-","-"
"71.25","93.67","82.74","82.97"
"73.22","86.52","76.56","79.45"
"-","-","-","-"
"77.09","92.99","91.01","83.47"
"64.55","86.54","74.79","80.47"
"-","-","-","-"
"71.00","92.12","80.03","85.67"
"76.00","98.01","95.40","94.84"
"-","-","-","-"
"81.00","97.54","94.01","93.96"
"86.00","100.00","98.12","96.58"
"-","-","-","-"
"87.51","98.99","96.62","96.50"
"86.00","101.72","97.51","98.70"
"-","-","-","-"
"91.00","104.00","98.00","98.74"
"89.59","98.00","91.76","95.10"
"-","-","-","-"
"81.01","98.00","98.00","92.57"
"79.00","91.00","91.00","87.00"
"-","-","-","-"
"64.01","81.87","81.87","74.96"
"63.01","89.86","89.86","87.16"
"-","-","-","-"
"0.00","0.00","0.00","0.00"
"0.00","0.00","0.00","0.00"
"-","-","-","-"
"0.00","0.00","0.00","0.00"
"0.00","0.00","0.00","0.00"
